Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold ,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
1,1,13,F2,B1,F2B1,0,1,13,V38,840,VT22,0,111.337,-28.7937,-75,,-1,,1,1,1,227,2,4,1,13
1,1,14,F2,G22,F2G22,0,1,14,V37,840,VT23,0,114.996,1.00355,-75,,-1,,1,1,1,226,2,3,22,14
1,1,30,F3,B15,F3B15,1,2,0,V27,840,VCT11,0,-114.996,-1.00355,65,,-1,,1,1,1,206,3,4,15,16
1,1,17,F3,B18,F3B18,1,2,2,V28,840,VCT13,0,-99.0874,-58.3669,65,,-1,,1,1,1,207,3,4,18,18
1,1,18,F3,B19,F3B19,1,2,3,V6,840,VCT7,0,-58.3669,99.0874,65,,-1,,1,1,1,210,3,4,19,19
1,1,19,F3,B16,F3B16,1,2,4,V28,840,VCB2,0,80.6046,82.0238,-65,,-1,,1,1,1,209,3,4,16,20
5,0,9,F1,B21,F1B21,1,2,5,FB0828,1543,C209R6,0,12.6697,-38.9933,-58,40.82,-1,40.82,1,1,3,170,1,4,21,21
1,1,21,F3,B24,F3B24,1,2,6,V30,840,VT16,0,-28.7937,-111.337,-75,,-1,,1,1,1,215,3,4,24,22
1,1,22,F1,I25,F1I25,1,2,7,V88,840,VT20,0,82.0238,-80.6046,-75,,-1,,1,1,1,234,1,5,25,23
1,1,23,F1,I27,F1I27,1,2,8,VU,840,VB17,0,1.00355,-114.996,-75,,-1,,1,1,1,236,1,5,27,24
1,1,47,F1,I26,F1I26,1,2,9,V129,840,VCB22,0,111.337,-28.7937,-65,,-1,,1,1,1,235,1,5,26,25
5,0,3,F1,B15,F1B15,1,2,10,FB0691,1599,C103R6,U,-16.1803,11.7557,-58,29.86,-1,29.86,1,1,2,193,1,4,15,26
1,1,26,F2,B5,F2B5,1,2,11,V-Omega,840,VB1,0,99.0874,58.3669,-75,,-1,,1,1,1,240,2,4,5,27
1,1,27,F2,G19,F2G19,1,2,12,V12,840,VCT3,0,56.6287,100.091,65,,-1,,1,1,1,223,2,3,19,28
1,1,28,F1,B10,F1B10,1,2,13,V39,840,VCB18,0,30.7324,-110.818,-65,,-1,,1,1,1,229,1,4,10,29
1,1,29,F3,B12,F3B12,1,2,14,V34,840,VCB6,0,-30.7324,110.818,-65,,-1,,1,1,1,203,3,4,12,30
1,1,45,F3,I1,F3I1,2,3,0,V5,840,VCT19,0,58.3669,-99.0874,65,,-1,,1,1,1,220,3,5,1,32
1,1,31,F3,B14,F3B14,2,2,1,V33,840,VCB12,0,-110.818,-30.7324,-65,,-1,,1,1,1,205,3,4,14,33
1,1,32,F3,B21,F3B21,2,3,2,V31,840,VT18,0,30.7324,-110.818,-75,,-1,,1,1,1,212,3,4,21,34
1,1,33,F3,B28,F3B28,2,3,3,V30,840,VT20,0,82.0238,-80.6046,-75,,-1,,1,1,1,219,3,4,28,35
1,1,34,F1,I24,F1I24,2,3,4,V127,840,VCB23,0,114.996,1.00355,-65,,-1,,1,1,1,233,1,5,24,36
1,1,35,F1,I23,F1I23,2,3,5,V44,840,VB23,0,114.996,1.00355,-75,,-1,,1,1,1,232,1,5,23,37
5,0,11,F1,B23,F1B23,2,3,6,FB0684,1642,C312R6,0,-6.48076,-61.6604,-58,26.3,-1,26.3,1,1,3,172,1,4,23,38
5,0,34,F3,Y8,F3Y8,2,3,7,FB0663,1640,C411R0,0,-83,-1.72E-11,-58,32.39,-1,32.39,1,1,3,37,3,2,8,39
1,1,38,F2,B2,F2B2,2,3,8,V41,840,VCB20,0,82.0238,-80.6046,-65,,-1,,1,1,1,228,2,4,2,40
1,1,39,F3,B22,F3B22,2,3,9,V2,840,VCT23,0,114.996,1.00355,65,,-1,,1,1,1,225,3,4,22,41
1,1,40,F2,G20,F2G20,2,3,10,V13,840,VCT1,0,99.0874,58.3669,65,,-1,,1,1,1,224,2,3,20,42
1,1,41,F3,I13,F3I13,2,3,11,V55,840,VB13,0,-99.0874,-58.3669,-75,,-1,,1,1,1,239,3,5,13,43
1,1,42,F3,B10,F3B10,2,3,12,V15,840,VCB10,0,-111.337,28.7937,-65,,-1,,1,1,1,201,3,4,10,44
1,1,43,F3,B17,F3B17,2,3,13,V8,840,VT12,0,-110.818,-30.7324,-75,,-1,,1,1,1,208,3,4,17,45
1,1,44,F3,B26,F3B26,2,3,14,V35,840,VT6,0,-30.7324,110.818,-75,,-1,,1,1,1,217,3,4,26,46
2,2,38,F1,I2,F1I2,3,4,0,FB0781,1728,C210R6,0,33.1697,-24.0992,-58,37.69,-1,37.69,1,1,3,181,1,5,2,48
5,0,10,F1,B22,F1B22,3,4,1,FB0686,1648,C208R6,0,-12.6697,-38.9933,-58,22.63,-1,22.63,1,1,3,171,1,4,22,49
1,1,0,F1,I19,F1I19,3,4,2,FB0747,1550,C412R6,0,-78.9377,-25.6484,58,46.39,-1,46.39,1,1,3,165,1,5,19,50
1,1,24,F1,I14,F1I14,3,4,3,FB0691,1639,C309R6,0,-60.6452,-12.8905,-58,29.24,-1,29.24,1,1,3,164,1,5,14,51
1,1,25,F1,B13,F1B13,3,4,4,FB0628,1794,C308R6,0,-60.6452,12.8905,-58,21.66,-1,21.66,1,1,3,162,1,4,13,52
1,1,36,F1,B14,F1B14,3,4,5,FB0690,1800,C206R6,0,-41,-8.5E-12,-58,25.12,-1,25.12,1,1,3,163,1,4,14,53
