Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
3,3,18,F2,Y15,F2Y15,8,9,4,FB0774,1675,C4R2,U,72.1249,72.1249,23.11,29.88,10.25,29.88,1,1,2,74,2,2,15,132
4,4,42,F2,R3,F2R3,12,13,13,FB0775,1679,C3R1,0,88.3346,51,46.22,33.74,11.75,33.74,1,1,3,53,2,1,3,205
3,3,5,F3,Y15,F3Y15,7,8,6,FB0776,1650,C11R4,0,-88.3346,51,-23.11,22.98,9.75,22.98,1,1,3,94,3,2,15,118
4,4,40,F2,R1,F2R1,12,13,11,FB0777,1645,C3R3,0,88.3346,51,0,22.72,8.75,22.72,1,1,3,51,2,1,1,203
2,2,2,F1,Y9,F1Y9,4,5,1,FB0778,1728,C208R0,0,-12.6697,-38.9933,58,28.03,9.75,28.03,1,1,3,18,1,2,9,65
5,0,5,F3,Y1,F3Y1,13,14,6,FB0779,1587,C203R0,0,12.6697,38.9933,58,23.49,8.25,23.49,1,1,3,30,3,2,1,214
5,0,29,F3,R6,F3R6,15,16,1,FB0780,1562,C405R0,0,25.6484,78.9377,-58,36.91,22.75,36.91,1,1,3,26,3,1,6,241
2,2,38,F1,I2,F1I2,3,4,0,FB0781,1728,C210R6,0,33.1697,-24.0992,-58,31.83,9.75,31.83,1,1,3,181,1,5,2,48
5,0,20,F3,Y6,F3Y6,15,16,11,FB0782,1677,C308R0,0,-60.6452,12.8905,58,20.67,9.25,20.67,1,1,3,35,3,2,6,251
4,4,0,F1,R6,F1R6,4,5,11,FB0783,1621,C103R0,0,-16.1803,11.7557,58,27.17,9.25,27.17,1,1,3,6,1,1,6,75
4,4,2,F1,R1,F1R1,10,11,8,FB0784,1692,C101R0,U,20,0,58,25.27,9.25,25.27,1,1,2,1,1,1,1,168
2,2,15,F1,Y10,F1Y10,4,5,4,FB0785,1655,C415R0,0,-25.6484,-78.9377,-58,32.83,22.75,32.83,1,1,3,19,1,2,10,68
4,4,32,F1,G5,F1G5,12,13,5,FB0786,1646,C2R1,U,98.5244,26.3995,46.22,28,4.25,28,1,1,2,45,1,3,5,197
4,4,25,F1,R8,F1R8,11,12,14,FB0787,1700,C301R0,U,62,0,58,29.03,9.75,29.03,1,1,2,8,1,1,8,190
2,2,27,F1,Y4,F1Y4,4,5,7,FB0788,1629,C209R0,U,12.6697,-38.9933,58,32.4,20.75,32.4,1,1,2,13,1,2,4,71
2,2,39,F1,Y1,F1Y1,4,5,9,FB0789,1663,C314R0,0,41.4861,-46.075,58,31.67,45.75,31.67,1,1,3,10,1,2,1,73
4,4,24,F1,R5,F1R5,4,5,13,FB0790,1637,C201R0,0,41,0,58,32.31,19.25,32.31,1,1,3,5,1,1,5,77
4,4,36,F1,R4,F1R4,4,5,14,FB0791,1611,C210R0,0,33.1697,-24.0992,58,28.69,9.25,28.69,1,1,3,4,1,1,4,78
4,4,13,F1,R2,F1R2,11,12,3,FB0792,1674,C401R0,0,83,0,-58,34.93,9.75,34.93,1,1,3,2,1,1,2,179
4,4,37,F1,R7,F1R7,4,5,0,FB0793,1688,C315R0,0,56.6398,-25.2177,58,28.48,10.25,28.48,1,1,3,7,1,1,7,64
4,4,20,F1,Y12,F1Y12,11,12,10,FB0795,1646,C2R3,0,98.5244,26.3995,0,25.99,8.75,25.99,1,1,3,41,1,2,12,186
5,0,0,F1,Y2,F1Y2,14,15,8,FB0796,1657,C419R0,0,67.1484,-48.7862,-58,20.48,8.75,20.48,1,1,3,11,1,2,2,232
2,2,3,F1,Y3,F1Y3,4,5,2,FB0797,1663,C313R0,0,19.1591,-58.9655,58,28.86,9.75,28.86,1,1,3,12,1,2,3,66
3,3,17,F2,Y14,F2Y14,8,9,3,FB0798,1649,C4R4,0,72.1249,72.1249,-23.11,22.29,8.75,22.29,1,1,3,73,2,2,14,131
2,2,17,F3,Y14,F3Y14,5,6,9,FB0799,1750,C11R2,0,-88.3346,51,23.11,21.91,9.75,21.91,1,1,3,93,3,2,14,89
2,2,18,F3,G6,F3G6,5,6,10,FB0800,1718,C13R1,0,-102,-2.11E-11,46.22,25.33,6.25,25.33,1,1,3,100,3,3,6,90
3,3,13,F3,G18,F3G18,7,8,14,FB0801,1655,C15R2,0,-88.3346,-51,23.11,26.26,9.75,26.26,1,1,3,112,3,3,18,126
4,4,9,F2,G13,F2G13,10,11,0,FB0802,1691,C10R5,0,-72.1249,72.1249,-46.22,22.61,8.75,22.61,1,1,3,87,2,3,13,160
4,4,41,F2,R5,F2R5,12,13,12,FB0803,1726,C3R2,0,88.3346,51,23.11,26.99,10.25,26.99,1,1,3,55,2,1,5,204
4,4,23,F2,G15,F2G15,11,12,13,FB0804,1593,C9R1,0,-51,88.3346,46.22,12.97,7.75,12.97,1,1,3,89,2,3,15,189
3,3,15,F3,G10,F3G10,8,9,1,FB0805,1750,C12R4,0,-98.5244,26.3995,-23.11,24.3,8.75,24.3,1,1,3,104,3,3,10,129
3,3,39,F3,G14,F3G14,9,10,12,FB0806,1630,C14R5,0,-98.5244,-26.3995,-46.22,29.67,9.25,29.67,1,1,3,108,3,3,14,156
4,4,5,F2,G4,F2G4,10,11,11,FB0807,1620,C8R4,0,-26.3995,98.5244,-23.11,41.94,9.75,41.94,1,1,3,78,2,3,4,171
4,4,10,F2,G11,F2G11,11,12,1,FB0808,1726,C10R3,0,-72.1249,72.1249,0,32.61,8.75,32.61,1,1,3,85,2,3,11,177
2,2,42,F3,Y13,F3Y13,6,7,9,FB0809,1600,C11R3,0,-88.3346,51,0,29.93,10.75,29.93,1,1,3,92,3,2,13,105
3,3,40,F3,G12,F3G12,9,10,13,FB0810,1400,C14R1,U,-98.5244,-26.3995,46.22,34.73,9.75,34.73,1,1,2,106,3,3,12,157
3,3,32,F1,G13,F1G13,9,10,5,FB0811,1450,C21R4,U,51,-88.3346,-23.11,45.43,8.75,45.43,1,1,2,132,1,3,13,149
2,2,4,F3,G2,F3G2,5,6,1,FB0812,1714,C13R5,0,-102,-2.11E-11,-46.22,26.89,2.25,26.89,1,1,3,96,3,3,2,81
4,4,22,F2,G12,F2G12,11,12,12,FB0813,1450,C10R2,0,-72.1249,72.1249,23.11,34.34,10.25,34.34,1,1,3,86,2,3,12,188
3,3,14,F3,G15,F3G15,7,8,0,FB0814,1632,C14R4,0,-98.5244,-26.3995,-23.11,30.84,5.75,30.84,1,1,3,109,3,3,15,112
4,4,21,F2,G16,F2G16,11,12,11,FB0815,1594,C10R4,0,-72.1249,72.1249,-23.11,37.92,10.25,37.92,1,1,3,90,2,3,16,187
3,3,28,F3,G13,F3G13,9,10,1,FB0816,1400,C14R2,0,-98.5244,-26.3995,23.11,38.29,31.25,38.29,1,1,3,107,3,3,13,145
3,3,19,F1,G14,F1G14,8,9,5,FB0817,1420,C21R5,0,51,-88.3346,-46.22,30.43,9.75,30.43,1,1,3,133,1,3,14,133
2,2,21,F1,B6,F1B6,5,6,13,FB0818,1690,C17R5,0,-51,-88.3346,-46.22,17.01,5.75,17.01,1,1,3,147,1,4,6,93
5,0,28,F1,I16,F1I16,13,14,13,FB0819,1500,C204R6,0,-12.6697,38.9933,-58,45.35,63.75,45.35,1,1,3,195,1,5,16,221
